term,log_odds,scope
benefactors,-2.874836589421074,overall
benefice,-0.58123481531222,overall
benefices,-4.5015163082896805,overall
benefices noted,-4.688102263870093,overall
benefices south,-2.958218198360125,overall
benefices st,-4.688102263870093,overall
beneficial,3.4795334513762763,overall
beneficial leases,3.305180064231499,overall
beneficiaries,-2.137237646290295,overall
beneficiary,-3.2358499349584045,overall
benefit,0.2606576265080756,overall
benington,5.436807359081905,overall
benington paid,5.209417516886244,overall
bennett,-1.4569938705662575,overall
bennington,3.093870970564292,overall
bensington,3.179714532403099,overall
bensington covering,4.630105478975097,overall
bensington estate,3.205096605674516,overall
bensington year,3.205096605674516,overall
benson,0.5971298631292887,overall
benson payable,5.209417516886244,overall
benson property,0.05998693104592444,overall
bequest,0.6881016413350153,overall
berry,0.4613283219702269,overall
bib,-3.1066382034783984,overall
bib lecturer,-2.5725557175481404,overall
bible,-1.0215673747176084,overall
bible clerk,-0.2501679972579149,overall
bible lecturer,-1.0974658576451186,overall
bibles,-3.2358499349584045,overall
biblical,-5.00203256239681,overall
biblical lecture,-4.782767490411171,overall
biblical lecturer,-3.1733295779770705,overall
bibliothecario,-3.3502602861361486,overall
bibliothecarius,-3.0351792394962533,overall
biennial,3.797298985053305,overall
biennial annuity,3.205096605674516,overall
biennial arrear,3.9742296932123837,overall
biennial arrears,4.835368605011459,overall
biennial half,3.4795334513762763,overall
biennial payment,4.371531490681387,overall
biennial period,2.281602961506303,overall
biennial quit,3.205096605674516,overall
biennial rent,6.669186417567574,overall
biennium,4.7715171330249255,overall
biennium half,4.067320116278395,overall
bigg,4.578145740044386,overall
biggs,3.8160056879974893,overall
billed,-2.958218198360125,overall
bills,-2.2118777314773777,overall
bills account,0.4613283219702269,overall
bills ambiguous,-4.688102263870093,overall
bills household,-4.743288679437383,overall
bills proceeds,-4.688102263870093,overall
bills relating,-0.19132749723498158,overall
binding,-4.430690255721068,overall
binding buttery,-2.683781352658365,overall
bishop,-3.9380469510382676,overall
bishop valuing,-4.688102263870093,overall
bishop visitation,-2.683781352658365,overall
blacksmith,-0.7754343051786999,overall
blake,-0.8379546621600341,overall
blank,0.2606576265080758,overall
blay,1.2300581836961793,overall
bliss,-1.2556898628600126,overall
board,-1.4534509084899132,overall
board accounts,-2.7838648112153472,overall
board charges,0.09360354184490963,overall
board college,-0.4865567753221454,overall
board education,-4.00202225053324,overall
boarding,0.05998693104592444,overall
boase,-0.007606360086603511,overall
boat,-1.4739434288800306,overall
bocardo,-3.4690438221261157,overall
bocardo prison,-2.7838648112153472,overall
body,-1.3487802859260245,overall
bolton,-3.3655862566143755,overall
bolton plumber,-3.5005424891854866,overall
bolton plumbing,-3.452914440196232,overall
bolton plummer,-4.688102263870093,overall
bond,0.8863635262724885,overall
bonney,3.694644830993222,overall
book,-1.8997206774421775,overall
book account,-1.4972002910442979,overall
book buttery,-2.7838648112153472,overall
book purchase,-2.958218198360125,overall
bookbinder,-3.5005424891854866,overall
bookbinder binding,-2.874836589421074,overall
bookbinding,-3.2358499349584045,overall
books,-3.432623889006498,overall
books buttery,-2.683781352658365,overall
books college,-2.7838648112153472,overall
books ink,-2.874836589421074,overall
books library,-3.0351792394962533,overall
books related,-3.1066382034783984,overall
books subscriptions,-2.683781352658365,overall
books sundries,-2.683781352658365,overall
bookseller,-2.751603948997126,overall
bottles,-3.1066382034783984,overall
bowler,-3.6311626716025507,overall
bowles,1.9952586818961822,overall
box,-0.837954662160034,overall
boyce,0.7360813232231506,overall
boyse,0.6283824066333932,overall
br,3.205096605674516,overall
bracher,-2.196078146313228,overall
brain,0.11755678286740237,overall
braine,-2.33459708044879,overall
brampton,3.305180064231499,overall
brawn,3.003645878971566,overall
brawn kind,5.23739136892865,overall
bray,0.8754273787135458,overall
bray covering,-4.688102263870093,overall
bray mr,3.6140643443338827,overall
bray paid,-4.688102263870093,overall
brazier,-4.205250492146508,overall
brazier metalwork,-3.3502602861361486,overall
bread,-1.2653986769869736,overall
brew,2.457882203844295,overall
brew house,2.8756174045442737,overall
brewer,2.4230960877588794,overall
brewer gardiner,4.60446304836176,overall
brewer gardner,3.757165187974556,overall
brewhouse,4.7265657451626595,overall
brewhouse property,4.110805228218134,overall
brick,-2.7838648112153472,overall
brick property,-3.589489975201983,overall
brickland,-3.1066382034783984,overall
bricks,-3.1733295779770705,overall
bridge,-1.0123080493048118,overall
brien,3.305180064231499,overall
brigade,-3.546004863262244,overall
bringing,-3.255850601665074,overall
broad,-1.249934451289392,overall
broad street,-1.491881129566698,overall
broadwater,-0.08311391259474887,overall
broadwater candles,-2.7838648112153472,overall
brocard,-4.688102263870093,overall
brocard tills,-4.688102263870093,overall
brocards,-4.688102263870093,overall
brocards tills,-4.688102263870093,overall
bromley,0.3516294047138024,overall
brook,0.427711711171242,overall
brooks,-2.0747172893089605,overall
brooks bringing,-2.5725557175481404,overall
brooms,-2.683781352658365,overall
brought,0.08016925079578217,overall
brought forward,0.2606576265080758,overall
brown,2.033724962723978,overall
bryan,-1.174426898781247,overall
builder,-3.3502602861361486,overall
builder building,-2.7838648112153472,overall
building,-2.487598995072175,overall
building fund,-0.365048273256337,overall
building materials,-2.958218198360125,overall
building repair,-3.9440349928828904,overall
building society,-3.2358499349584045,overall
