year,metric,delta,abs_delta_robust_z,is_change_point
1872,amount_sum,10347.963541666672,0.9341906605993466,False
1845,entry_ratio,0.021600000000000064,0.9197727272727462,False
1739,entry_ratio,-0.021599999999999953,0.9197727272727365,False
1824,entry_ratio,0.021599999999999953,0.9197727272727365,False
1865,amount_median,-2.4937500000000004,0.9134317931793176,False
1809,data_rows_per_page,-3.8850000000000016,0.905557093425607,False
1842,amount_median,2.478645833333333,0.9026724422442237,False
1749,amount_sum_real,6220.3015000000005,0.8977425423083123,False
1835,amount_median,-2.470833333333333,0.8971072607260719,False
1849,amount_sum,-10111.192708333332,0.8942551585534546,False
1828,amount_sum_real,6192.356800000001,0.8899031749319083,False
1740,amount_sum,10074.76875,0.8881116270970594,False
1750,entry_ratio,0.021199999999999997,0.8847337662337791,False
1753,data_rows_per_page,3.8329999999999984,0.8812844290657438,False
1765,entry_ratio,-0.021100000000000008,0.8759740259740397,False
1858,n_data_rows,39.0,0.8756666666666666,False
1849,amount_sum_real,-6097.727900000002,0.8633567918422695,False
1797,data_rows_per_page,3.7880000000000003,0.860279238754326,False
1785,n_data_rows,38.5,0.852,False
1810,amount_sum_real,-6035.079099999999,0.8457818327662767,False
1740,entry_ratio,0.02059999999999995,0.8321753246753331,False
1854,n_data_rows,-38.0,0.8283333333333333,False
1756,data_rows_per_page,-3.6610000000000014,0.8009979238754339,False
1870,amount_sum,9531.390625000007,0.7964614947005597,False
1751,amount_sum_real,-5848.474099999999,0.7934332604332789,False
1848,amount_median,2.325,0.7932238723872382,False
1761,amount_median,-2.3208333333333337,0.7902557755775574,False
1806,data_rows_per_page,-3.625,0.7841937716262982,False
1707,data_rows_per_page,3.6189999999999998,0.7813930795847756,False
1754,n_data_rows,37.0,0.7809999999999999,False
1766,n_data_rows,37.0,0.7809999999999999,False
1820,n_data_rows,37.0,0.7809999999999999,False
1810,data_rows_per_page,-3.6149999999999984,0.7795259515570933,False
1876,data_rows_per_page,3.605999999999998,0.7753249134948095,False
1884,data_rows_per_page,3.6000000000000014,0.7725242214532884,False
1878,entry_ratio,-0.01990000000000003,0.7708571428571575,False
1881,data_rows_per_page,-3.5829999999999984,0.7645889273356399,False
1759,amount_median,2.2802083333333334,0.7613168316831678,False
1754,entry_ratio,-0.01970000000000005,0.7533376623376787,False
1868,amount_sum,-9257.747916666664,0.7503069122942693,False
1753,entry_ratio,0.019600000000000062,0.7445779220779394,False
1841,n_data_rows,36.0,0.7336666666666667,False
1878,amount_sum,9140.379166666666,0.730510639713897,False
1735,entry_ratio,-0.019399999999999973,0.7270584415584509,False
1819,data_rows_per_page,3.5,0.7258460207612463,False
1872,amount_sum_real,5587.0108999999975,0.7200846082663103,False
