term,pre,ind,post,delta_post_vs_pre,delta_ind_vs_pre,change
balance,9.195190915151376e-05,0.0007439721348618579,0.012064965197215777,0.011973013288064263,0.0006520202257103441,post_vs_pre
fund,2.298797728787844e-05,0.0006537936942725418,0.010889404485692188,0.01086641650840431,0.0006308057169846633,post_vs_pre
yr,0.000574699432196961,0.004058029826519225,0.010951276102088167,0.010376576669891207,0.003483330394322264,post_vs_pre
account,0.000574699432196961,0.0010483243718507997,0.00825986078886311,0.007685161356666148,0.00047362493965383875,post_vs_pre
college,0.0011264108871060436,0.0031337008104787346,0.007579273008507347,0.006452862121401303,0.002007289923372691,post_vs_pre
total,0.0005057355003333257,0.0008905121008194966,0.0067749419953596285,0.006269206495026303,0.00038477660048617096,post_vs_pre
repairs,2.298797728787844e-05,0.0011497751175137804,0.005537509667440062,0.005514521690152183,0.001126787140225902,post_vs_pre
rectory,0.0004597595457575688,0.005771420197716231,0.0059396751740139215,0.0054799156282563525,0.005311660651958662,post_vs_pre
rent,0.001724098296590883,0.004508922029465805,0.00711523588553751,0.0053911375889466265,0.002784823732874922,post_vs_pre
school,2.298797728787844e-05,0.0009468736261878191,0.005104408352668214,0.005081420375380335,0.0009238856488999407,post_vs_pre
payments,2.298797728787844e-05,7.890613551565159e-05,0.005011600928074246,0.004988612950786367,5.591815822777315e-05,post_vs_pre
newton,0.0002298797728787844,0.00029307993191527733,0.004733178654292344,0.0045032988814135595,6.320015903649292e-05,post_vs_pre
domus,0.00018390381830302752,0.0019613810828176255,0.004609435421500387,0.004425531603197359,0.001777477264514598,post_vs_pre
fees,0.0004137835911818119,0.0014090381342080642,0.004733178654292344,0.004319395063110532,0.0009952545430262523,post_vs_pre
close,0.0,0.0007326998297881934,0.004269141531322506,0.004269141531322506,0.0007326998297881934,post_vs_pre
rate,0.0,0.0005410706435358966,0.004207269914926527,0.004207269914926527,0.0005410706435358966,post_vs_pre
beginning,0.0,2.2544610147329026e-05,0.004176334106728539,0.004176334106728539,2.2544610147329026e-05,post_vs_pre
kidlington,0.0030114250247120756,0.006774655349272372,0.00711523588553751,0.004103810860825435,0.003763230324560297,post_vs_pre
10,0.0018620261603181536,0.0025137240314271865,0.0059396751740139215,0.004077649013695768,0.0006516978711090329,post_vs_pre
rector,0.00032183168203029814,0.0013075873885450835,0.004392884764114462,0.004071053082084164,0.0009857557065147853,post_vs_pre
