year,rank,term,tfidf
1807,8,pro 14,0.11339075768374726
1807,9,ut supra,0.1123791724826829
1807,10,augment,0.11136758728161857
1807,11,mas,0.11012852840502477
1807,12,supra,0.1079933539587585
1807,13,1421,0.10540723966796221
1807,14,rectori ut,0.1049828780206139
1807,15,gwinear rectory,0.10309042598464464
1808,1,st michaels,0.28081247640682017
1808,2,michaels,0.27267117754461184
1808,3,ded,0.261751780643228
1808,4,rectory,0.25495992440011017
1808,5,poors,0.22131589606671379
1808,6,rate st,0.19056570962989883
1808,7,st,0.17032561092803528
1808,8,kidlington,0.15789722847549909
1808,9,taylor judge,0.13275164259100133
1808,10,tenement,0.11962787018640211
1808,11,rate,0.11571805823322835
1808,12,rectory vicarage,0.106095501599723
1808,13,recepta,0.1057672923693662
1808,14,wilson,0.10082854372864217
1808,15,watchman,0.10082854372864217
1809,1,mr,0.35004436905698777
1809,2,st michael,0.22222977059357776
1809,3,michael,0.18460604711723935
1809,4,jones mr,0.15727359921120837
1809,5,dividend,0.15678698735943977
1809,6,property,0.13188552447438548
1809,7,property tax,0.12797483077106284
1809,8,rates st,0.12637825525080656
1809,9,plate,0.12506415269812016
1809,10,plate money,0.12383640076226461
1809,11,mr jones,0.12106617627738343
1809,12,dno rectori,0.11763264722592637
1809,13,money,0.11534018235190056
1809,14,st,0.11297505953723927
1809,15,michaelmas,0.1123556347236088
1810,1,dno,0.2839918735364479
1810,2,st,0.18198728754086135
1810,3,rectory,0.16764077235681699
1810,4,dno rectori,0.16398174887114397
1810,5,st newington,0.1565134845587179
1810,6,mr hayes,0.1550136748002371
1810,7,mr,0.1530877872243891
1810,8,kidlington,0.1483147002523419
1810,9,recepta,0.13908782428931538
1810,10,st michael,0.13768523277075126
1810,11,tax,0.13640112792014933
1810,12,property tax,0.13592298238849781
1810,13,rectori,0.132484195815836
1810,14,property,0.12256698835520335
1810,15,hayes,0.11508658551171529
1811,1,mr,0.25730303592514997
1811,2,rectory,0.22541042863998764
1811,3,st michael,0.17356133874047158
1811,4,tax,0.15130952291822886
1811,5,prop tax,0.14464138351009312
1811,6,michael,0.1441772296829279
1811,7,st,0.14117354322200346
1811,8,prop,0.14069877382869428
1811,9,rectory vicarage,0.14069877382869428
1811,10,domus,0.11825663656457268
1811,11,domus wine,0.11534178374634231
1811,12,yrs,0.11286760985490625
1811,13,rectori,0.1113367252005255
1811,14,dno rectori,0.11024524577918499
1811,15,deduct,0.10929128575922441
1812,1,yd,0.23743149538982017
1812,2,mr,0.23624915768843444
1812,3,1813,0.2046804877705407
1812,4,1812,0.1966959916185314
1812,5,rectore,0.18409739142618453
1812,6,st michael,0.1677469931914978
1812,7,rectory,0.1633943448153447
1812,8,sir,0.14340406652973378
1812,9,michael,0.13934725867813047
1812,10,st,0.13644419641802938
1812,11,property tax,0.13247998288533966
1812,12,wt,0.13074386843748084
1812,13,fest,0.126052063376324
1812,14,property,0.11946230309451365
1812,15,michs,0.11147780694250436
1813,1,mr,0.30300763369484623
1813,2,1813,0.2877605509933271
1813,3,rectory,0.17016023076458206
1813,4,acc,0.15821045640268608
1813,5,1814,0.14388027549666355
1813,6,property,0.13996016643571194
1813,7,poor rates,0.1318420470022384
1813,8,rectory vicarage,0.12745463091890244
1813,9,domus,0.12497916517950214
1813,10,property tax,0.12416918123108879
1813,11,kidlington,0.1219404041474554
1813,12,st,0.11509623873412998
1813,13,tax,0.11214538165436598
1813,14,ad,0.10816644144663069
1813,15,domus wine,0.10448452446939387
1814,1,1814,0.23062241692208887
1814,2,mr,0.18213151330331814
1814,3,1813,0.17296681269156666
1814,4,yrs,0.17207754163457772
1814,5,st michael,0.15120627245956542
1814,6,ad test,0.14561417898733128
1814,7,rectory yrs,0.13760522727362007
1814,8,test,0.13750680512955554
1814,9,kidlington,0.13030366452416478
1814,10,michael,0.12560689858759788
