era,term,relative_freq
post_1840,22 mr,0.0
pre_1760,22 pd,0.00016091584101514907
industrial_1760_1840,22 pd,1.1272305073664513e-05
post_1840,22 pd,0.0
pre_1760,220,0.0
industrial_1760_1840,220,1.1272305073664513e-05
post_1840,220,9.280742459396752e-05
pre_1760,224,0.0
industrial_1760_1840,224,1.1272305073664513e-05
post_1840,224,0.0001237432327919567
pre_1760,226,0.0
industrial_1760_1840,226,4.508922029465805e-05
post_1840,226,6.187161639597834e-05
pre_1760,228,0.0
industrial_1760_1840,228,1.1272305073664513e-05
post_1840,228,9.280742459396752e-05
pre_1760,23,0.00032183168203029814
industrial_1760_1840,23,0.0006763383044198708
post_1840,23,0.00015467904098994585
pre_1760,23 mr,4.597595457575688e-05
industrial_1760_1840,23 mr,0.00015781227103130318
post_1840,23 mr,0.0
pre_1760,230,0.0
industrial_1760_1840,230,2.2544610147329026e-05
post_1840,230,0.00015467904098994585
pre_1760,231,0.0
industrial_1760_1840,231,4.508922029465805e-05
post_1840,231,3.093580819798917e-05
pre_1760,232,0.0
industrial_1760_1840,232,3.381691522099354e-05
post_1840,232,3.093580819798917e-05
pre_1760,24,0.0005057355003333257
industrial_1760_1840,24,0.0011497751175137804
post_1840,24,0.0004949729311678268
pre_1760,24 mr,6.896393186363533e-05
industrial_1760_1840,24 mr,0.0001803568811786322
post_1840,24 mr,0.0
pre_1760,240,0.0
industrial_1760_1840,240,3.381691522099354e-05
post_1840,240,3.093580819798917e-05
pre_1760,243,0.0
industrial_1760_1840,243,3.381691522099354e-05
post_1840,243,3.093580819798917e-05
pre_1760,247,0.0
industrial_1760_1840,247,2.2544610147329026e-05
post_1840,247,0.0006187161639597834
pre_1760,248,0.0
industrial_1760_1840,248,3.381691522099354e-05
post_1840,248,3.093580819798917e-05
pre_1760,249,0.0
industrial_1760_1840,249,3.381691522099354e-05
post_1840,249,6.187161639597834e-05
pre_1760,24th,6.896393186363533e-05
industrial_1760_1840,24th,4.508922029465805e-05
post_1840,24th,3.093580819798917e-05
pre_1760,25,0.0008045792050757454
industrial_1760_1840,25,0.000834150575451174
post_1840,25,0.0008662026295436968
pre_1760,25 mr,9.195190915151376e-05
industrial_1760_1840,25 mr,0.00015781227103130318
post_1840,25 mr,0.0
pre_1760,25 pd,0.00018390381830302752
industrial_1760_1840,25 pd,5.636152536832257e-05
post_1840,25 pd,0.0
pre_1760,25 recd,4.597595457575688e-05
industrial_1760_1840,25 recd,2.2544610147329026e-05
post_1840,25 recd,0.0
pre_1760,250,0.0
industrial_1760_1840,250,5.636152536832257e-05
post_1840,250,0.0001237432327919567
pre_1760,251,0.0
industrial_1760_1840,251,1.1272305073664513e-05
post_1840,251,9.280742459396752e-05
pre_1760,256,0.0
industrial_1760_1840,256,2.2544610147329026e-05
post_1840,256,9.280742459396752e-05
pre_1760,257,0.0
industrial_1760_1840,257,2.2544610147329026e-05
post_1840,257,6.187161639597834e-05
pre_1760,25th,4.597595457575688e-05
industrial_1760_1840,25th,5.636152536832257e-05
post_1840,25th,0.0
pre_1760,26,0.0002758557274545413
industrial_1760_1840,26,0.000856695185598503
post_1840,26,0.0003402938901778809
pre_1760,26 pd,0.0001149398864393922
industrial_1760_1840,26 pd,1.1272305073664513e-05
post_1840,26 pd,0.0
pre_1760,264,2.298797728787844e-05
