year,n_educational,n_scholarship,n_prize,scholar_income,scholar_expenditure,scholarship_intensity,prize_intensity,scholar_income_share,era
1760,3.114285714285714,0.5142857142857142,0.0,0.0,0.5142857142857142,0.1651376146788991,0.0,0.0,pre_industrial
1761,11.114285714285714,7.014285714285714,0.0,0.0,7.014285714285714,0.6311053984575835,0.0,0.0,pre_industrial
1762,3.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0045871559633027525,0.0,0.0,pre_industrial
1763,1.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.012820512820512822,0.0,0.0,pre_industrial
1764,1.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.012820512820512822,0.0,0.0,pre_industrial
1765,0.11428571428571428,0.014285714285714285,0.0,0.0,0.014285714285714285,0.125,0.0,0.0,pre_industrial
1766,2.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.006756756756756758,0.0,0.0,pre_industrial
1767,6.114285714285714,3.0142857142857142,0.0,0.0,3.0142857142857142,0.4929906542056075,0.0,0.0,pre_industrial
1768,4.114285714285714,3.0142857142857142,0.0,0.0,3.0142857142857142,0.732638888888889,0.0,0.0,pre_industrial
1769,0.11428571428571428,0.014285714285714285,0.0,0.0,0.014285714285714285,0.125,0.0,0.0,pre_industrial
1770,5.5,2.0,0.0,0.0,2.0,0.36363636363636365,0.0,0.0,pre_industrial
1771,6.5,2.5,0.0,0.0,2.5,0.38461538461538464,0.0,0.0,pre_industrial
1772,3.5,1.5,0.0,0.0,1.5,0.42857142857142855,0.0,0.0,pre_industrial
1773,6.0,2.5,0.0,0.0,2.5,0.4166666666666667,0.0,0.0,pre_industrial
1774,9.5,4.5,0.0,0.0,4.5,0.47368421052631576,0.0,0.0,pre_industrial
1775,7.5,4.0,0.0,0.0,4.0,0.5333333333333333,0.0,0.0,pre_industrial
1776,5.5,1.0,0.0,0.0,1.0,0.18181818181818182,0.0,0.0,pre_industrial
1777,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,pre_industrial
1778,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,pre_industrial
1779,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,pre_industrial
1780,3.0,0.5,0.0,0.5,0.0,0.16666666666666666,0.0,1.0,transition
1781,4.0,1.0,0.0,1.0,0.0,0.25,0.0,1.0,transition
1782,2.5,0.5,0.0,0.5,0.0,0.2,0.0,1.0,transition
1783,2.0,0.5,0.0,0.0,0.5,0.25,0.0,0.0,transition
1784,3.0,0.5,0.0,0.0,0.5,0.16666666666666666,0.0,0.0,transition
1785,4.5,1.0,0.0,0.0,1.0,0.2222222222222222,0.0,0.0,transition
1786,5.5,1.0,0.5,0.0,1.0,0.18181818181818182,0.09090909090909091,0.0,transition
1787,6.0,1.5,0.5,0.0,1.5,0.25,0.08333333333333333,0.0,transition
1788,7.0,1.5,0.0,0.0,1.5,0.21428571428571427,0.0,0.0,transition
1789,4.5,0.0,0.0,0.0,0.0,0.0,0.0,,transition
1790,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,transition
1791,3.5,0.0,0.0,0.0,0.0,0.0,0.0,,transition
1792,1.5,0.0,0.0,0.0,0.0,0.0,0.0,,transition
1793,2.5,0.0,0.0,0.0,0.0,0.0,0.0,,transition
1794,4.0,1.0,0.0,1.0,0.0,0.25,0.0,1.0,transition
1795,4.0,1.0,0.0,1.0,0.0,0.25,0.0,1.0,transition
1796,2.5,1.0,0.5,0.0,1.0,0.4,0.2,0.0,transition
1797,4.5,2.5,0.5,0.5,2.0,0.5555555555555556,0.1111111111111111,0.2,transition
1798,4.0,1.5,0.0,0.5,1.0,0.375,0.0,0.3333333333333333,transition
1799,2.5,0.0,0.0,0.0,0.0,0.0,0.0,,transition
1800,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,transition
1801,4.0,2.0,0.0,0.0,2.0,0.5,0.0,0.0,transition
1802,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,transition
1803,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,transition
1804,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,transition
1805,8.0,4.0,0.0,0.0,4.0,0.5,0.0,0.0,transition
1806,6.0,4.0,0.0,0.0,4.0,0.6666666666666666,0.0,0.0,transition
1807,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,transition
1808,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,transition
1809,8.0,5.0,0.0,3.0,2.0,0.625,0.0,0.6,transition
1810,4.0,1.0,0.0,1.0,0.0,0.25,0.0,1.0,transition
1811,6.0,2.0,0.0,0.0,2.0,0.3333333333333333,0.0,0.0,transition
1812,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,transition
1813,4.0,1.0,0.0,0.0,1.0,0.25,0.0,0.0,transition
1814,5.0,1.0,0.0,0.0,1.0,0.2,0.0,0.0,transition
1815,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,transition
1816,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,transition
1817,11.0,6.0,0.0,1.0,5.0,0.5454545454545454,0.0,0.16666666666666666,transition
1819,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,transition
1820,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,early_industrial
1821,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,early_industrial
1822,6.0,4.0,0.0,0.0,4.0,0.6666666666666666,0.0,0.0,early_industrial
1823,5.0,1.0,0.0,0.0,1.0,0.2,0.0,0.0,early_industrial
1824,4.0,2.0,0.0,0.0,2.0,0.5,0.0,0.0,early_industrial
1825,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,early_industrial
1826,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,early_industrial
1827,7.0,1.0,0.0,1.0,0.0,0.14285714285714285,0.0,1.0,early_industrial
1828,9.0,7.0,1.0,1.0,6.0,0.7777777777777778,0.1111111111111111,0.14285714285714285,early_industrial
1829,3.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,early_industrial
1830,4.0,1.0,1.0,0.0,1.0,0.25,0.25,0.0,early_industrial
1831,4.0,1.0,0.0,0.0,1.0,0.25,0.0,0.0,early_industrial
1832,11.0,5.0,1.0,0.0,5.0,0.45454545454545453,0.09090909090909091,0.0,early_industrial
1833,8.0,3.0,0.0,0.0,3.0,0.375,0.0,0.0,early_industrial
1834,7.0,2.0,0.0,0.0,2.0,0.2857142857142857,0.0,0.0,early_industrial
1835,5.0,3.0,0.0,0.0,3.0,0.6,0.0,0.0,early_industrial
1836,14.0,9.0,2.0,2.0,7.0,0.6428571428571429,0.14285714285714285,0.2222222222222222,early_industrial
1837,13.0,5.0,0.0,1.0,4.0,0.38461538461538464,0.0,0.2,early_industrial
1838,6.0,4.0,2.0,0.0,4.0,0.6666666666666666,0.3333333333333333,0.0,early_industrial
1839,9.0,4.0,3.0,0.0,4.0,0.4444444444444444,0.3333333333333333,0.0,early_industrial
1840,9.0,8.0,2.0,0.0,8.0,0.8888888888888888,0.2222222222222222,0.0,early_industrial
1841,7.0,4.0,3.0,0.0,4.0,0.5714285714285714,0.42857142857142855,0.0,early_industrial
1842,8.0,6.0,1.0,0.0,6.0,0.75,0.125,0.0,early_industrial
1843,13.0,5.0,5.0,0.0,5.0,0.38461538461538464,0.38461538461538464,0.0,early_industrial
1844,11.0,5.0,2.0,0.0,5.0,0.45454545454545453,0.18181818181818182,0.0,early_industrial
1845,6.0,4.0,1.0,0.0,4.0,0.6666666666666666,0.16666666666666666,0.0,early_industrial
1846,7.0,4.0,1.0,3.0,1.0,0.5714285714285714,0.14285714285714285,0.75,early_industrial
1847,6.0,5.0,1.0,0.0,5.0,0.8333333333333334,0.16666666666666666,0.0,early_industrial
