year,income,expenditure,trad_income,new_income,committed_exp,discretionary_exp,hi_spend,hi_share,arrears,balance_items,n_balance_rows,n_inc_rows,income_incomplete,observed
1807,1234.3328018878015,1280.862696534574,530.9500173806086,703.3827845071928,879.6702029520295,401.19249358254456,114.86911064762822,0.08968104931029006,388.872316032943,196.2834743836569,1.0,84.0,False,True
1808,1209.653125162837,1069.5145999426816,531.0639590172477,678.5891661455892,628.7232622062426,440.791337736439,83.50431191704445,0.07807683216434791,202.9234895263405,,,78.0,False,True
1809,1910.1778819285678,2094.497789971041,690.2549947924605,1219.9228871361074,1088.1657871005436,1006.3320028704975,310.7480122440685,0.14836397237180418,983.9360107707158,66.78193110806279,2.0,123.0,False,True
1810,1333.696948574969,2616.370817843866,494.7610749690211,838.9358736059478,1202.7172397769516,1413.6535780669144,182.77106567534076,0.0698567131344024,1090.7686648079307,,,57.0,False,True
1811,2353.3004231980867,1479.2330878910943,746.4053465922748,1606.895076605812,680.6028674991459,798.6302203919485,358.3535759922065,0.24225632790779597,568.0868947761287,,,78.0,False,True
1812,2145.375781835569,2052.874861078804,885.4679544338477,1259.907827401721,869.60509226952,1183.269768809284,136.92703083404407,0.0667001352250413,353.61017420071846,,,99.0,False,True
1813,1554.8120287099032,1839.5104525705533,766.8513034348878,787.9607252750154,666.7116496969218,1172.7988028736315,559.1452563950187,0.30396416373370566,997.1813385629202,,,80.0,False,True
1814,1557.7127551847052,1273.8746219485852,685.3954012745734,872.3173539101318,710.2792854828258,563.5953364657594,91.19308976020739,0.07158717835253965,317.89313971700153,248.50298390581122,1.0,78.0,False,True
1815,1706.1110247911056,279.7566639044265,915.0227021614529,791.0883226296527,86.16419791450866,193.59246598991783,106.85294523858849,0.3819495977228723,32.81541330018646,,,73.0,False,True
1816,3928.72035168066,1417.102645379244,602.9347065558477,3325.785645124812,983.8254989681395,433.27714641110447,293.0837079128149,0.20681896887884224,381.02198357504307,1027.699004183982,1.0,82.0,False,True
1817,2161.4201115984197,2981.9077757030996,1285.779162505247,875.6409490931726,1616.211714939135,1365.6960607639646,438.2232728299102,0.14696070629702226,2176.670809993197,,,99.0,False,True
1818,1661.0722733879102,2732.9889841735253,1191.404627899389,469.6676454885212,1193.750595111922,1539.2383890616034,540.0227039391687,0.1975941751197637,,,,64.0,False,False
1819,1695.1574830087125,2484.070192643951,881.3983411637702,813.7591418449423,771.2894752847087,1712.7807173592423,641.8221350484271,0.258375200889672,1194.2984156669556,751.4715329410514,1.0,68.0,False,True
1820,2015.8136406176882,2441.6422944938386,768.5252885665262,1247.2883520511618,1219.741459990641,1221.9008345031975,231.49079706754017,0.09480946393727549,1019.4655669942288,,,78.0,False,True
1821,2443.85462826194,2013.257214783755,1400.656259430441,1043.198368831499,998.8901859881514,1014.3670287956036,302.4789155191309,0.15024355223861463,913.9377948253682,,,95.0,False,True
1822,1985.2132272050735,2312.4464100821847,1083.3272665501845,901.885960654889,1337.3571272568433,975.0892828253413,258.65022163981104,0.11185133653783508,923.0448780172136,,,71.0,False,True
1823,3029.470187758601,3550.753239206765,1060.6176746946244,1968.8525130639764,1634.6238646291808,1916.1293745775843,268.4111402337504,0.07559273262641963,991.4265079208084,155.89815867992021,1.0,77.0,False,True
1824,2870.2936493934203,2814.257464630171,1087.6311666162583,1782.662482777162,1323.2128154719899,1491.044649158181,226.41101253486573,0.08045142115830507,794.9563338038107,,,85.0,False,True
1825,3785.3245738027927,4943.483894457295,1134.6419086781461,2650.6826651246465,1205.042619720723,3738.441274736572,284.69919900625376,0.057590801362873374,809.2124989291527,,,81.0,False,True
1826,3069.248003180928,3610.2778287541946,811.5938941904362,2257.654108990492,1130.6600207983781,2479.6178079558167,985.3624860178971,0.27293259210411464,1304.9753346965886,12.434240422259508,1.0,58.0,False,True
1827,2115.3987639788115,2624.1422093209912,1265.3794790161771,850.0192849626344,1366.326225765602,1257.8159835553893,90.5389979845542,0.034502321430202355,644.2130620507608,,,93.0,False,True
1828,8036.298435849812,3012.205697585491,1097.4213827888852,6938.877053060927,1460.5872619177683,1551.618435667723,156.6875842164682,0.05201755787862199,669.71268527623,1001.6160457409228,2.0,93.0,False,True
1829,2927.319877624653,2625.3266287265897,1386.7185320537853,1540.6013455708678,1520.6938477561418,1104.6327809704478,322.4092878796332,0.12280730494704856,1314.4347811936245,1962.2040581003923,5.0,100.0,False,True
1830,3024.2487409730143,2895.718714367161,1299.4423460661346,1724.8063949068796,1591.0413103382743,1304.6774040288865,219.7435623337134,0.07588567261158749,1212.0563711516534,56.62295705055112,1.0,75.0,False,True
1831,2252.2055530142757,3331.1140812320123,1600.161172737149,652.0443802771267,1592.5248251281755,1738.5892561038368,365.0949644538472,0.10960145931682316,1260.2367916976384,765.7813482760592,1.0,95.0,False,True
