unit,unit_id,year_ref,cluster
page,1803_9_image,1803,3
page,1804_1_image,1804,2
page,1804_2_image,1804,2
page,1804_3_image,1804,3
page,1804_4_image,1804,3
page,1804_5_image,1804,3
page,1804_6_image,1804,3
page,1804_7_image,1804,2
page,1804_8_image,1804,3
page,1805_1_image,1805,2
page,1805_2_image,1805,3
page,1805_3_image,1805,3
page,1805_4_image,1805,3
page,1805_5_image,1805,2
page,1805_6_image,1805,1
page,1805_7_image,1805,2
page,1805_8_image,1805,3
page,1806_1_image,1806,2
page,1806_2_image,1806,3
page,1806_3_image,1806,3
page,1806_4_image,1806,3
page,1806_5_image,1806,2
page,1806_6_image,1806,1
page,1806_7_image,1806,2
page,1806_8_image,1806,3
page,1807_1_image,1807,2
page,1807_2_image,1807,3
page,1807_3_image,1807,3
page,1807_4_image,1807,2
page,1807_5_image,1807,2
page,1807_6_image,1807,1
page,1807_7_image,1807,2
page,1808_1_image,1808,3
page,1808_2_image,1808,2
page,1808_3_image,1808,3
page,1808_4_image,1808,3
page,1809_10_image,1809,2
page,1809_11_image,1809,1
page,1809_12_image,1809,2
page,1809_13_image,1809,3
page,1809_1_image,1809,2
page,1809_2_image,1809,2
page,1809_3_image,1809,1
page,1809_4_image,1809,2
page,1809_5_image,1809,3
page,1809_6_image,1809,2
page,1809_7_image,1809,3
page,1809_8_image,1809,2
page,1809_9_image,1809,2
page,1810_1_image,1810,3
page,1810_2_image,1810,3
page,1810_3_image,1810,3
page,1810_4_image,1810,2
page,1810_5_image,1810,2
page,1810_6_image,1810,1
page,1810_7_image,1810,2
page,1810_8_image,1810,2
page,1810_9_image,1810,2
page,1811_1_image,1811,3
page,1811_2_image,1811,3
page,1811_3_image,1811,2
page,1811_4_image,1811,2
page,1811_5_image,1811,2
page,1811_6_image,1811,2
page,1811_7_image,1811,2
page,1812_1_image,1812,3
page,1812_2_image,1812,3
page,1812_3_image,1812,2
page,1812_4_image,1812,2
page,1812_5_image,1812,2
page,1812_6_image,1812,2
page,1812_7_image,1812,2
page,1813_1_image,1813,3
page,1813_2_image,1813,2
page,1813_3_image,1813,2
page,1813_4_image,1813,1
page,1813_5_image,1813,2
page,1813_6_image,1813,2
page,1813_7_image,1813,2
page,1814_1_image,1814,3
page,1814_2_image,1814,3
page,1814_3_image,1814,2
page,1814_4_image,1814,1
page,1814_5_image,1814,2
page,1814_6_image,1814,2
page,1814_7_image,1814,2
page,1815_1_image,1815,3
page,1815_2_image,1815,3
page,1815_3_image,1815,2
page,1815_4_image,1815,1
page,1815_5_image,1815,2
page,1816_1_image,1816,2
page,1816_2_image,1816,3
page,1816_3_image,1816,3
page,1816_4_image,1816,2
page,1816_5_image,1816,2
page,1817_10_image,1817,2
page,1817_11_image,1817,3
page,1817_1_image,1817,1
page,1817_2_image,1817,2
page,1817_3_image,1817,2
page,1817_4_image,1817,3
page,1817_5_image,1817,3
page,1817_6_image,1817,3
page,1817_7_image,1817,2
page,1817_8_image,1817,1
page,1817_9_image,1817,2
page,1818_1_image,1818,2
page,1818_2_image,1818,2
page,1818_3_image,1818,1
page,1819_1_image,1819,2
page,1819_2_image,1819,3
page,1819_3_image,1819,3
page,1819_4_image,1819,2
page,1819_5_image,1819,2
page,1819_6_image,1819,2
page,1820_10_image,1820,2
page,1820_1_image,1820,2
page,1820_2_image,1820,1
page,1820_3_image,1820,2
page,1820_4_image,1820,3
page,1820_5_image,1820,3
page,1820_6_image,1820,3
page,1820_7_image,1820,4
page,1820_8_image,1820,2
page,1820_9_image,1820,2
page,1821_10_image,1821,2
page,1821_11_image,1821,2
page,1821_1_image,1821,2
page,1821_2_image,1821,2
page,1821_3_image,1821,1
page,1821_4_image,1821,2
page,1821_5_image,1821,3
page,1821_6_image,1821,3
page,1821_7_image,1821,3
page,1821_8_image,1821,4
page,1821_9_image,1821,2
page,1822_1_image,1822,2
page,1822_2_image,1822,1
page,1822_3_image,1822,2
page,1822_4_image,1822,3
page,1822_5_image,1822,3
page,1822_6_image,1822,4
page,1822_7_image,1822,2
