era,term,relative_freq
pre_1760,anno napper,0.00014468639224480938
industrial_1760_1840,anno napper,2.447261514365425e-05
post_1840,anno napper,0.0
pre_1760,anno newington,4.822879741493646e-05
industrial_1760_1840,anno newington,9.7890460574617e-05
post_1840,anno newington,0.0
pre_1760,anno praesenti,2.411439870746823e-05
industrial_1760_1840,anno praesenti,2.447261514365425e-05
post_1840,anno praesenti,0.0
pre_1760,anno preston,2.411439870746823e-05
industrial_1760_1840,anno preston,4.89452302873085e-05
post_1840,anno preston,0.0
pre_1760,anno pro,0.0005064023728568328
industrial_1760_1840,anno pro,3.6708922715481375e-05
post_1840,anno pro,0.0
pre_1760,anno rec,4.822879741493646e-05
industrial_1760_1840,anno rec,6.118153785913563e-05
post_1840,anno rec,0.0
pre_1760,anno sadler,0.0006028599676867057
industrial_1760_1840,anno sadler,2.447261514365425e-05
post_1840,anno sadler,0.0
pre_1760,anno sayer,4.822879741493646e-05
industrial_1760_1840,anno sayer,4.89452302873085e-05
post_1840,anno sayer,0.0
pre_1760,anno sir,2.411439870746823e-05
industrial_1760_1840,anno sir,0.00011012676814644413
post_1840,anno sir,0.0
pre_1760,anno south,0.0008922327521763244
