year,metric,delta,abs_delta_robust_z,is_change_point
1861,amount_sum,-20994.24270833334,3.1125666451046854,True
1835,amount_sum,-20980.474479166667,3.1100104016873447,True
1734,data_rows_per_page,8.600000000000001,3.1064342560553655,True
1858,amount_sum,-20834.976041666654,3.0829968025824512,True
1818,entry_ratio,-0.04620000000000002,3.074668831168866,True
1864,amount_sum,-20774.431249999994,3.0717559070919256,True
1881,n_data_rows,85.0,3.053,True
1838,n_data_rows,-84.0,3.005666666666667,True
1776,n_data_rows,83.5,2.9819999999999998,True
1726,data_rows_per_page,8.332999999999998,2.981803460207613,True
1733,data_rows_per_page,8.286000000000001,2.959864705882355,True
1758,entry_ratio,0.04479999999999995,2.9520324675324954,True
1895,amount_sum_real,13779.431199999992,2.9514000116195622,True
1752,entry_ratio,-0.04469999999999996,2.9432727272727557,True
1770,n_data_rows,81.5,2.8873333333333333,True
1882,entry_ratio,-0.04399999999999993,2.8819545454545707,True
1779,data_rows_per_page,7.999999999999998,2.826365051903115,True
1842,amount_sum_real,-13272.6461,2.813726687318747,True
1859,entry_ratio,-0.04290000000000005,2.7855974025974377,True
1803,amount_median,-5.033333333333335,2.7760771704180076,True
1791,n_data_rows,-79.0,2.769,True
1861,amount_median,-5.0,2.7519373689361104,True
1800,n_data_rows,78.5,2.7453333333333334,True
1809,amount_sum_real,12783.160199999998,2.6807528665584726,True
1802,amount_sum,-18616.70208333333,2.6711465831240067,True
1839,n_data_rows,76.0,2.6270000000000002,True
1897,amount_sum,-18377.74583333335,2.626781375826797,True
1869,amount_sum_real,12517.1145,2.6084788475809257,True
1858,amount_sum_real,-12448.753500000006,2.5899078869853454,True
1843,amount_sum,18101.111979166668,2.575420851523575,True
1740,data_rows_per_page,7.433,2.56169965397924,True
1820,data_rows_per_page,-7.433,2.56169965397924,True
1815,amount_median,-4.7333333333333325,2.5588189570809443,True
1803,amount_sum,17981.671875,2.553245306916749,True
1861,amount_sum_real,-12297.7006,2.548872831123838,True
1801,n_data_rows,-74.0,2.5323333333333333,True
1802,amount_median,-4.672916666666666,2.515065566895008,True
1805,amount_median,4.6625,2.5075218789319162,True
1731,amount_median,4.654166666666667,2.5014869285614427,True
1817,amount_sum,17672.157291666666,2.495780065262288,False
1835,amount_sum_real,-12038.600699999999,2.4784857093260393,False
1820,entry_ratio,-0.03920000000000001,2.4614870129870416,False
1849,amount_median,-4.56875,2.4396286872640847,False
1779,n_data_rows,72.0,2.437666666666667,False
1851,n_data_rows,-72.0,2.437666666666667,False
1864,amount_sum_real,-11691.348300000001,2.384151064760844,False
1897,amount_sum_real,-11604.523000000001,2.3605640893655218,False
1859,amount_median,-4.433333333333334,2.3415607437438837,False
1793,amount_median,-4.427604166666666,2.337411715364182,False
1828,amount_sum,16685.900520833333,2.312669198372216,False
1832,entry_ratio,-0.0374000000000001,2.3038116883117232,False
1882,amount_sum_real,-11391.6979,2.3027479874089845,False
1730,n_data_rows,69.0,2.295666666666667,False
1800,amount_sum,16535.07083333333,2.284665786230825,False
1880,entry_ratio,0.03710000000000002,2.2775324675324953,False
1854,amount_sum,-16472.714583333334,2.2730885709141013,False
1745,entry_ratio,0.03700000000000003,2.268772727272756,False
1793,entry_ratio,0.03700000000000003,2.268772727272756,False
1803,entry_ratio,-0.03699999999999992,2.2687727272727463,False
1735,data_rows_per_page,-6.800000000000001,2.266226643598617,False
1824,amount_sum,-16242.621354166666,2.2303688939453497,False
1816,amount_sum_real,11120.3824,2.229042373689603,False
1758,data_rows_per_page,6.6960000000000015,2.2176813148788947,False
1849,n_data_rows,-67.0,2.201,False
1852,amount_sum,16069.617708333331,2.1982486099579273,False
1815,amount_sum_real,-10969.9692,2.188181098836171,False
1737,data_rows_per_page,6.600000000000001,2.1728702422145347,False
1823,amount_sum_real,10900.4878,2.169305770190805,False
1843,amount_sum_real,10881.1405,2.1640498794646468,False
1833,amount_median,4.186458333333334,2.162775339018594,False
1819,amount_sum_real,10835.786699999999,2.151729058636105,False
1793,n_data_rows,65.5,2.13,False
1872,entry_ratio,-0.0354000000000001,2.1286168831169165,False
1827,amount_median,-4.115104166666667,2.11110107647141,False
1823,n_data_rows,65.0,2.106333333333333,False
1848,n_data_rows,65.0,2.106333333333333,False
1839,amount_sum,15510.454166666663,2.0944329263795085,False
1852,data_rows_per_page,-6.3770000000000024,2.0687778546712825,False
1815,n_data_rows,-64.0,2.059,False
1877,n_data_rows,-64.0,2.059,False
1861,entry_ratio,0.03410000000000002,2.014740259740285,False
1759,entry_ratio,-0.03359999999999996,1.9709415584415781,False
1810,amount_sum,-14824.65520833333,1.9671057987121177,False
1840,amount_sum,-14739.290624999994,1.9512567994270034,False
1861,data_rows_per_page,-6.125,1.9511487889273367,False
1854,amount_sum_real,-10090.474800000002,1.9492575042949098,False
1754,amount_median,-3.8770833333333337,1.938727806514749,False
1769,amount_median,-3.848958333333334,1.9183598490143998,False
1857,n_data_rows,-61.0,1.9169999999999998,False
1708,data_rows_per_page,-6.046999999999997,1.9147397923875429,False
1820,amount_median,3.8395833333333327,1.9115705298476158,False
1777,data_rows_per_page,-5.969000000000001,1.8783307958477526,False
1857,amount_median,3.7791666666666677,1.867817139661681,False
1870,entry_ratio,0.032399999999999984,1.865824675324696,False
1701,data_rows_per_page,5.917000000000002,1.8540581314878912,False
1852,amount_sum_real,9686.562699999999,1.839530676232434,False
1840,n_data_rows,-59.0,1.8223333333333334,False
1808,entry_ratio,0.03159999999999996,1.7957467532467712,False
1828,amount_sum_real,9504.500100000001,1.790071520126918,False
