year,amount_real_expenditure,amount_real_income,amount_sum_expenditure,amount_sum_income,n_entries_expenditure,n_entries_income,total_entries,income_share,net_amount,net_amount_real,era
1741,468.38679634290264,1777.8519973979442,470.5882142857143,1786.2079017857143,58.05714285714286,96.68571428571428,154.74285714285713,0.6248153618906943,1315.6196875,1309.4652010550415,pre_1760
1742,560.0270846896317,1899.8947247068036,565.2913392857143,1917.7537351190476,78.05714285714286,84.68571428571428,162.74285714285713,0.5203651685393259,1352.4623958333332,1339.8676400171719,pre_1760
1743,389.80857997473714,1359.7500099783529,395.3048809523809,1378.9224851190477,69.05714285714286,88.68571428571428,157.74285714285713,0.5622169896757834,983.6176041666668,969.9414300036158,pre_1760
1744,659.762798670705,1524.024982121824,672.1663392857142,1552.6766517857143,75.05714285714286,94.68571428571428,169.74285714285713,0.5578185490658139,880.5103125,864.262183451119,pre_1760
1745,500.0139286295857,2191.752753739502,511.76425595238095,2243.258943452381,77.05714285714286,91.68571428571428,168.74285714285713,0.5433457500846597,1731.4946875,1691.7388251099164,pre_1760
1746,785.6323406137401,1526.1101375728272,807.7871726190476,1569.146443452381,88.05714285714286,110.68571428571428,198.74285714285713,0.5569292696952272,761.3592708333333,740.4777969590871,pre_1760
1747,600.2493845345282,1435.4170556546753,619.9975892857143,1482.6422767857143,86.05714285714286,98.68571428571428,184.74285714285713,0.5341787813176616,862.6446875,835.1676711201471,pre_1760
1748,816.5645537320556,1364.0548558716084,847.2673809523809,1415.343318452381,91.05714285714286,93.68571428571428,184.74285714285713,0.5071141354778843,568.0759375000001,547.4903021395528,pre_1760
1749,1628.085809542084,2242.4821565630955,1696.9538392857144,2337.3391517857144,89.05714285714286,89.68571428571428,178.74285714285713,0.5017583120204604,640.3853125,614.3963470210115,pre_1760
1750,3390.124249556556,1663.4795703142768,3549.4600892857143,1741.6631101190476,85.05714285714286,80.68571428571428,165.74285714285713,0.48681261851404933,-1807.7969791666667,-1726.6446792422794,pre_1760
1751,568.016191826447,1338.8051214105678,600.9611309523809,1416.455818452381,76.05714285714286,86.68571428571428,162.74285714285713,0.5326544943820225,815.4946875,770.7889295841209,pre_1760
1752,657.2689485055014,1656.3752978974564,702.620505952381,1770.665193452381,73.05714285714286,102.68571428571428,175.74285714285713,0.584295236546903,1068.0446874999998,999.1063493919551,pre_1760
1753,2382.076278659612,2406.6469769620808,2572.642380952381,2599.1787351190474,64.05714285714286,91.68571428571428,155.74285714285713,0.5886993212254632,26.53635416666657,24.570698302468827,pre_1760
1754,628.9047564488673,1988.2347862380511,686.1350892857142,2169.1641517857142,86.05714285714286,94.68571428571428,180.74285714285713,0.5238697439140058,1483.0290625,1359.3300297891838,pre_1760
1755,850.1547240947194,1292.331731807968,936.870505952381,1424.149568452381,94.05714285714286,85.68571428571428,179.74285714285713,0.47671276426641235,487.2790624999999,442.1770077132486,pre_1760
1756,515.1511359260685,1656.740964467548,573.3632142857142,1843.952693452381,64.05714285714286,71.68571428571428,135.74285714285713,0.5280993475057882,1270.589479166667,1141.5898285414796,pre_1760
1757,638.8138398152855,2145.807000402474,718.0267559523809,2411.887068452381,72.05714285714286,69.68571428571428,141.74285714285713,0.4916347510582544,1693.8603125,1506.9931605871884,pre_1760
1758,1295.1584854205998,3057.893342248794,1470.0048809523807,3470.708943452381,94.05714285714286,82.68571428571428,176.74285714285713,0.46783058519236986,2000.7040625000002,1762.734856828194,pre_1760
1759,1026.453593762985,1752.5883378002159,1176.3158184523809,2008.4662351190477,70.55714285714286,65.68571428571428,136.24285714285713,0.4821222606689735,832.1504166666668,726.1347440372308,pre_1760
1760,1016.6947436926368,1735.9258730501708,1176.3158184523809,2008.4662351190477,70.55714285714286,65.68571428571428,136.24285714285713,0.4821222606689735,832.1504166666668,719.231129357534,industrial_1760_1840
1761,611.4268929051007,1808.3426060275826,713.3517559523809,2109.793318452381,98.05714285714286,68.68571428571428,166.74285714285713,0.4119259766963674,1396.4415625,1196.915713122482,industrial_1760_1840
1762,515.193497919399,2136.60371482408,606.0736309523809,2513.5006101190475,61.05714285714286,92.68571428571428,153.74285714285713,0.6028619215759152,1907.4269791666666,1621.410216904681,industrial_1760_1840
1763,580.5244829995062,1715.0092615454412,688.5600892857143,2034.1724851190477,83.05714285714286,70.68571428571428,153.74285714285713,0.4597658427801524,1345.6123958333333,1134.4847785459351,industrial_1760_1840
1764,982.137730071122,1377.3463944241353,1174.4402976190477,1647.030818452381,70.05714285714286,76.68571428571428,146.74285714285713,0.5225856697819314,472.59052083333336,395.2086643530133,industrial_1760_1840
1765,1661.4705911398155,1010.371375738184,2002.9027976190475,1218.002693452381,55.05714285714286,58.68571428571428,113.74285714285713,0.515950766139161,-784.9001041666666,-651.0992154016315,industrial_1760_1840
1766,764.4735140600019,1498.5312651846452,928.9882142857143,1821.0151934523808,82.05714285714286,96.68571428571428,178.74285714285713,0.540920716112532,892.0269791666665,734.0577511246433,industrial_1760_1840
1767,1376.7643325597035,3088.322759097924,1686.398630952381,3782.8865476190476,162.05714285714285,156.68571428571428,318.74285714285713,0.49157404087486556,2096.487916666667,1711.5584265382206,industrial_1760_1840
1768,670.4294286562834,1772.686232479384,827.7121726190476,2188.5584226190476,81.05714285714286,88.68571428571428,169.74285714285713,0.5224709644840936,1360.84625,1102.2568038231007,industrial_1760_1840
1769,9.3900567540365,15.361369272453818,11.684047619047618,19.114151785714284,1.0571428571428572,0.6857142857142857,1.7428571428571429,0.39344262295081966,7.430104166666666,5.971312518417317,industrial_1760_1840
1770,363.8934576023392,812.9103535353536,456.3223958333333,1019.3895833333333,39.5,34.0,73.5,0.46258503401360546,563.0671875,449.0168959330144,industrial_1760_1840
1771,904.3371122424816,2024.466298971242,1145.7046875,2564.796354166667,85.0,84.0,169.0,0.4970414201183432,1419.0916666666667,1120.1291867287605,industrial_1760_1840
1772,1125.2539459290513,2626.1985108350264,1440.1,3361.008854166667,106.5,66.5,173.0,0.38439306358381503,1920.908854166667,1500.944564905975,industrial_1760_1840
1773,899.4284411180731,2599.097737938681,1162.6911458333334,3359.8536458333333,101.0,78.5,179.5,0.4373259052924791,2197.1625,1699.6692968206078,industrial_1760_1840
1774,1077.388987821691,2365.8447265625,1406.6390625,3088.8468749999997,86.5,111.5,198.0,0.5631313131313131,1682.2078124999998,1288.455738740809,industrial_1760_1840
1775,1105.7388446466946,1822.726662242447,1457.9166666666667,2403.265104166667,84.0,94.5,178.5,0.5294117647058824,945.3484375,716.9878175957524,industrial_1760_1840
1776,1400.262411747033,2323.9513701116616,1864.309375,3094.108854166667,119.0,133.0,252.0,0.5277777777777778,1229.7994791666667,923.6889583646287,industrial_1760_1840
1777,1042.2214783406482,1662.9019285129807,1401.0583333333334,2235.4390625,81.5,88.0,169.5,0.5191740412979351,834.3807291666667,620.6804501723325,industrial_1760_1840
1778,1158.6450197710974,745.3465775125258,1572.5130208333335,1011.584375,45.5,44.0,89.5,0.49162011173184356,-560.9286458333335,-413.29844225857164,industrial_1760_1840
1779,1729.1784510862954,1467.2313304381673,2369.1473958333336,2010.2536458333334,88.0,63.5,151.5,0.41914191419141916,-358.8937500000002,-261.947120648128,industrial_1760_1840
1780,1562.887518076645,1651.331269583032,2161.4734375,2283.7911458333333,86.5,76.0,162.5,0.4676923076923077,122.31770833333348,88.44375150638712,industrial_1760_1840
1781,1768.5452490586852,1899.6147054944,2458.101041666667,2640.2744791666664,89.5,86.5,176.0,0.4914772727272727,182.17343749999964,131.06945643571476,industrial_1760_1840
1782,1674.876652586865,2034.9809982340587,2339.467708333333,2842.461458333333,90.0,94.0,184.0,0.5108695652173914,502.9937500000001,360.10434564719367,industrial_1760_1840
1783,1871.935925292679,2239.599288190734,2627.6364583333334,3143.7255208333336,91.0,106.0,197.0,0.5380710659898477,516.0890625000002,367.6633628980551,industrial_1760_1840
1784,2292.876996786237,1692.2796593648093,3234.3322916666666,2387.1296875,95.5,74.0,169.5,0.4365781710914454,-847.2026041666668,-600.5973374214279,industrial_1760_1840
1785,2335.895796590241,2189.1655643738977,3311.132291666667,3103.1421875,114.5,80.5,195.0,0.4128205128205128,-207.9901041666667,-146.7302322163432,industrial_1760_1840
1786,2254.29676530469,3194.8093641767296,3211.0203125,4550.686458333334,126.0,90.0,216.0,0.4166666666666667,1339.6661458333338,940.5125988720397,industrial_1760_1840
1787,2143.655097929621,2592.725290528424,3068.2135416666665,3710.9677083333336,112.0,86.0,198.0,0.43434343434343436,642.7541666666671,449.0701925988028,industrial_1760_1840
1788,1762.996569786307,2460.5999831965883,2535.541666666667,3538.834895833333,109.5,83.0,192.5,0.43116883116883115,1003.2932291666662,697.6034134102813,industrial_1760_1840
