year,metric,value,delta,abs_delta_robust_z,is_change_point,era
1846,income_amount,9296.053125,4001.9593750000004,3.3387237424514584,True,post_1840
1847,income_amount,7280.154166666666,-2015.8989583333341,1.2482731609190743,False,post_1840
1848,income_amount,7640.6,360.4458333333341,-0.494192938709493,False,post_1840
1849,income_amount,4129.952083333334,-3510.647916666667,2.821588253939872,True,post_1840
1850,income_amount,10085.55625,5955.604166666666,5.39505488755415,True,post_1840
1851,income_amount,5708.852083333333,-4376.704166666666,3.7331656542340923,True,post_1840
1852,income_amount,6957.588541666666,1248.7364583333328,0.440787507010086,False,post_1840
1853,income_amount,7280.476041666667,322.8875000000007,-0.5337253915488829,False,post_1840
1854,income_amount,9157.591666666667,1877.1156250000004,1.1021951778733232,False,post_1840
1855,income_amount,9565.167708333334,407.57604166666715,-0.4445854994838945,False,post_1840
1856,income_amount,6329.580208333333,-3235.5875000000015,2.5320702699188065,True,post_1840
1857,income_amount,14548.525,8218.944791666667,7.777359920186611,True,post_1840
1858,income_amount,15757.166666666668,1208.6416666666682,0.3985852759738958,False,post_1840
1859,income_amount,55.020833333333336,-15702.145833333334,15.653888669262093,True,post_1840
1860,income_amount,6718.879166666667,6663.858333333334,6.1405359022082795,True,post_1840
1861,income_amount,20991.675,14272.795833333334,14.149409996992777,True,post_1840
1862,income_amount,1765.7625,-19225.9125,19.362869531929423,True,post_1840
1863,income_amount,5699.425,3933.6625000000004,3.2668370864049034,True,post_1840
1864,income_amount,12647.254166666668,6947.829166666667,6.439432647089901,True,post_1840
1865,income_amount,9519.6,-3127.654166666667,2.4184638068223387,False,post_1840
1866,income_amount,12372.675000000001,2853.0750000000007,2.129452367986867,False,post_1840
1867,income_amount,2105.9958333333334,-10266.679166666669,9.932726131163799,True,post_1840
1868,income_amount,1987.2708333333333,-118.72500000000014,-0.7486189634012531,False,post_1840
1869,income_amount,1388.8958333333333,-598.375,-0.24375787608605534,False,post_1840
1870,income_amount,16983.49166666667,15594.595833333335,15.540685688045063,True,post_1840
1871,income_amount,14865.514583333334,-2117.977083333335,1.355716657590808,False,post_1840
1872,income_amount,12804.364583333334,-2061.1499999999996,1.2959026618009215,False,post_1840
1873,income_amount,17713.79375,4909.429166666667,4.293891439160578,True,post_1840
1876,income_amount,7810.439583333333,-9903.354166666668,9.550304251566603,True,post_1840
1877,income_amount,5307.739583333334,-2502.699999999999,1.7606611588383974,False,post_1840
1878,income_amount,5562.493750000001,254.7541666666666,-0.6054399099457887,False,post_1840
1879,income_amount,4023.4479166666665,-1539.045833333334,0.7463559563383382,False,post_1840
1880,income_amount,3492.89375,-530.5541666666663,-0.3151434690377694,False,post_1840
1881,income_amount,14709.817708333334,11216.923958333333,10.9329171428107,True,post_1840
1882,income_amount,15880.366666666667,1170.5489583333328,0.3584903606232268,False,post_1840
1883,income_amount,22069.316666666666,6188.949999999999,5.640665710314782,True,post_1840
1884,income_amount,34987.525,12918.208333333336,12.723623448231024,True,post_1840
1885,income_amount,16849.204166666666,-18138.320833333335,18.2181124978665,True,post_1840
1886,income_amount,14748.095833333333,-2101.1083333333336,1.337961262059381,False,post_1840
1889,income_amount,20652.791666666668,5904.695833333335,5.341470739696191,True,post_1840
1891,income_amount,91248.11666666667,70595.325,73.43233153441649,True,post_1840
1892,income_amount,28436.354166666668,-62811.7625,65.2396539008591,True,post_1840
1893,income_amount,55941.7375,27505.383333333335,28.077521147297162,True,post_1840
1894,income_amount,14892.362500000001,-41049.375,42.33340431089835,True,post_1840
1895,income_amount,14301.216666666665,-591.1458333333358,-0.2513670180514778,False,post_1840
1896,income_amount,14587.420833333334,286.20416666666824,-0.5723368531417361,False,post_1840
1897,income_amount,12914.3125,-1673.1083333333336,0.8874649723253986,False,post_1840
